Nodo;latitude;longitud;Velocidad_Objetivo;Velocidad;CACC;Hora;Distancia_Objetivo;Distancia;;minuto;Segundos;Ellapsed_Seconds;Acceleracion
1;0,341;0,528297;3,5;3,32;0,42;10:23:43;10;34,17;;1;43;49;-0,01
0;0,340821;0,528603;3,5;3,66;;10:23:44;10;;;1;44;57;0,01
1;0,34098;0,528305;3,5;3,44;0,53;10:23:44;10;34,92;;1;44;50;0,12
0;0,340817;0,528625;3,5;3,53;;10:23:45;10;;;1;45;58;-0,13
1;0,340956;0,528328;3,5;3,51;0,56;10:23:45;10;34,06;;1;45;51;0,07
0;;;;;;;;;;;;#VALUE!;#VALUE!
1;0,340935;0,528351;3,5;3,55;0,54;10:23:46;10;33,21;;1;46;52;0,04
0;0,340826;0,528687;3,5;3,23;;10:23:47;10;;;1;47;60;#VALUE!
1;0,340916;0,528381;3,5;3,49;0,5;10:23:47;10;29,25;;1;47;53;-0,06
0;0,34085;0,52874;3,5;3,48;;10:23:48;10;;;1;48;61;0,25
1;0,340901;0,528419;3,5;3,79;0,37;10:23:48;10;30,9;;1;48;54;0,3
0;0,34085;0,52874;3,5;3,66;;10:23:49;10;;;1;49;62;0,18
1;0,340889;0,528458;3,5;4,08;0,38;10:23:49;10;31,69;;1;49;55;0,29
0;0,340874;0,528801;3,5;3,53;;10:23:50;10;;;1;50;63;-0,13
1;0,340878;0,528496;3,5;4,06;0,38;10:23:50;10;27,33;;1;50;56;-0,02
0;0,340874;0,528801;3,5;3,58;;10:23:51;10;;;1;51;64;0,05
1;0,340868;0,528526;3,5;3,97;0,24;10:23:51;10;30,55;;1;51;57;-0,09
0;0,340869;0,528854;3,5;3,58;;10:23:52;10;;;1;52;65;0
1;0,340863;0,528557;3,5;4,06;0,32;10:23:52;10;27,17;;1;52;58;0,09
0;0,340869;0,528854;3,5;3,49;;10:23:53;10;;;1;53;66;-0,09
1;0,340863;0,528595;3,5;4,02;0,23;10:23:53;10;28,8;;1;53;59;-0,04
0;;;;;;;;;;;;#VALUE!;#VALUE!
1;0,340864;0,528633;3,5;4,02;0,26;10:23:54;10;24,56;;1;54;60;0
0;0,34084;0,528893;3,5;3,58;;10:23:55;10;;;1;55;68;#VALUE!
1;0,340867;0,528671;3,5;4,11;0,13;10:23:55;10;24,82;;1;55;61;0,09
0;0,34083;0,528915;3,5;3,47;;10:23:56;10;;;1;56;69;-0,11
1;0,340868;0,528709;3,5;4,23;0,11;10:23:56;10;23,24;;1;56;62;0,12
0;0,340822;0,528938;3,5;3,45;;10:23:57;10;;;1;57;70;-0,02
1;0,340869;0,528748;3,5;4,25;0,04;10:23:57;10;21,82;;1;57;63;0,02
0;0,340822;0,528938;3,5;3,55;;10:23:58;10;;;1;58;71;0,1
1;0,340869;0,528786;3,5;4,18;-0,01;10:23:58;10;17,71;;1;58;64;-0,07
0;0,340847;0,529015;3,5;3,4;;10:23:59;10;;;1;59;72;-0,15
1;0,340866;0,528831;3,5;3,9;-0,15;10:23:59;10;20,51;;1;59;65;-0,28
0;0,340847;0,529015;3,5;3,02;;10:24:00;10;;;1;00;73;-0,38
1;0,340863;0,52887;3,5;3,75;-0,07;10:24:00;10;16,26;;2;00;66;-0,15
0;0,340884;0,529083;3,5;2,96;;10:24:01;10;;;2;01;74;-0,06
1;0,340861;0,528915;3,5;3,67;-0,17;10:24:01;10;18,81;;2;01;67;-0,08
0;0,340884;0,529083;3,5;3,39;;10:24:02;10;;;2;02;75;0,43
1;0,340859;0,528954;3,5;3,45;-0,11;10:24:02;10;14,65;;2;02;68;-0,22
0;0,340909;0,529144;3,5;3,4;;10:24:03;10;;;2;03;76;0,01
1;0,340859;0,528992;3,5;3,32;-0,21;10:24:03;10;17,81;;2;03;69;-0,13
0;0,340925;0,529175;3,5;3,65;;10:24:04;10;;;2;04;77;0,25
1;0,340866;0,52903;3,5;3,31;-0,12;10:24:04;10;17,44;;2;04;70;-0,01
0;0,340948;0,52919;3,5;3,63;;10:24:05;10;;;2;05;78;-0,02
1;0,340873;0,529068;3,5;3,25;-0,12;10:24:05;10;15,91;;2;05;71;-0,06
0;0,340976;0,52919;3,5;3,76;;10:24:06;10;;;2;06;79;0,13
1;0,340884;0,529091;3,5;3,02;-0,15;10:24:06;10;15,06;;2;06;72;-0,23
0;0,341007;0,52919;3,5;3,82;;10:24:07;10;;;2;07;80;0,06
1;0,340893;0,529114;3,5;2,91;-0,18;10:24:07;10;15,27;;2;07;73;-0,11
0;0,34104;0,52919;3,5;3,88;;10:24:08;10;;;2;08;81;0,06
1;0,340901;0,529137;3,5;3,35;-0,18;10:24:08;10;16,56;;2;08;74;0,44
